@relation 'Multiclass Clothing Sales Dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-Llast'

@attribute Product_Category {'Traditional Wear',Athleisure,Outerwear,Bottoms,Tops}
@attribute Brand {'Forever 21','Ralph Lauren',Nike,Zara,Wrangler,Balenciaga,Uniqlo,Reebok,Gucci,'Louis Vuitton','Tommy Hilfiger','Under Armour','Calvin Klein',Puma,Diesel,Versace,Levi’s,Adidas,H&M,GAP}
@attribute Product_Name {Tops,'Casual Shirt',Blazer,Leggings,Dress,Jeans,Hoodie,Jumpsuit,Trousers,Jacket,Skirt,T-Shirt,Saree,Kurta,Shorts,'Polo Shirt',Palazzo,Sweatshirt,'Formal Shirt','Track Pants'}
@attribute Gender {Women,Men}
@attribute Size {S,XXL,M,XL,L}
@attribute Color {White,Yellow,Green,Orange,Purple,Black,Pink,Red,Blue}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,'Net Banking',Cash}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price numeric
@attribute Cost_Price numeric
@attribute Discount_Percentage numeric
@attribute Quantity_Sold numeric
@attribute Total_Sales numeric
@attribute Stock_Availability numeric
@attribute Customer_Age numeric
@attribute Purchase_Frequency numeric
@attribute Store_Rating numeric
@attribute Return_Rate numeric
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
'Traditional Wear','Forever 21',Tops,Women,S,White,Winter,Card,New,1817.433878,816.027585,26.260791,6,42241.692855,294,58,2.560957,3.106155,29.293331,'High Sales',no,no
Athleisure,'Ralph Lauren','Casual Shirt',Men,XXL,Yellow,All-Season,Card,Returning,1672.038198,793.236861,26.882613,8,69318.541482,376,40,1.590993,3.428439,19.47367,'Low Sales',no,no
Outerwear,Nike,Blazer,Men,S,Green,All-Season,UPI,Returning,1381.568069,890.469629,30.27472,5,56851.12107,48,41,3.066213,3.765591,22.083407,'Medium Sales',no,no
Athleisure,Zara,Leggings,Women,M,White,Winter,UPI,Returning,859.507388,1497.080062,24.994389,4,72084.36172,362,32,2.194826,4.530297,17.282082,'Medium Sales',no,no
Athleisure,Zara,Dress,Men,XL,Yellow,Summer,'Net Banking',Returning,1642.176945,896.187442,24.994389,2,29846.082696,34,27,2.014097,4.644271,9.379608,'Medium Sales',no,no
Bottoms,'Ralph Lauren',Jeans,Women,L,White,Summer,Cash,Returning,381.875,1395.122216,31.594812,8,66493.255096,444,62,1.892831,3.995121,10.333587,'Low Sales',no,no
Outerwear,Wrangler,Hoodie,Men,M,White,All-Season,UPI,Returning,1191.442375,1159.158217,31.015017,5,15947.662532,387,47,1.083173,3.144731,6.338736,'High Sales',no,no
Outerwear,Zara,Jumpsuit,Women,XL,Orange,Winter,Card,Returning,296.437161,1656.01013,6.06729,6,54267.969945,56,60,2.992408,3.185068,0.913214,'Medium Sales',no,no
Outerwear,Balenciaga,'Casual Shirt',Men,M,Purple,Winter,Card,New,1089.111866,977.451474,38.592452,2,52418.271255,56,23,2.832176,4.279085,4.865411,'Low Sales',no,no
Athleisure,Uniqlo,Trousers,Men,XXL,Purple,Winter,Cash,New,1546.977432,1331.422136,19.461967,2,85075.427691,92,64,2.622983,3.753406,4.116767,'High Sales',no,no
'Traditional Wear','Ralph Lauren',Jacket,Men,M,Black,All-Season,Cash,New,587.297333,235.369106,38.938687,6,44392.040396,371,31,1.151096,4.126842,16.171187,'Medium Sales',no,no
Outerwear,Reebok,Skirt,Women,XXL,Orange,All-Season,Card,Returning,1096.725802,1082.336297,45.729961,1,33058.985565,490,57,0.970696,3.995121,2.937317,'High Sales',no,no
Athleisure,Gucci,Skirt,Women,M,Pink,All-Season,Card,New,1352.939214,1480.667077,30.949482,4,48390.283361,219,47,3.803581,3.23493,24.763827,'High Sales',no,no
Bottoms,'Louis Vuitton',T-Shirt,Women,XL,Purple,Winter,Card,Returning,1784.431124,301.023951,42.842967,3,28706.175221,307,34,2.530368,4.0455,22.149408,'High Sales',no,no
'Traditional Wear','Tommy Hilfiger',Saree,Women,M,Yellow,All-Season,'Net Banking',Returning,1316.151233,1441.958077,32.785456,6,70589.33318,341,63,1.183511,3.397302,5.052332,'Medium Sales',no,no
Bottoms,'Under Armour',Jacket,Men,S,Red,All-Season,Card,Returning,2005.65088,1006.274265,13.401381,5,89940.076669,119,58,1.665879,4.49729,1.206788,'Medium Sales',no,no
'Traditional Wear',Uniqlo,Dress,Women,M,Blue,Summer,UPI,New,2407.771424,1308.452197,35.241869,4,67009.054953,153,31,0.857589,4.917186,8.211136,'Medium Sales',no,no
Athleisure,Balenciaga,Jumpsuit,Men,XXL,Orange,Summer,'Net Banking',Returning,906.847705,635.997117,0.256019,6,7564.754036,406,21,0.14042,4.724218,5.211425,'Medium Sales',no,no
Tops,Zara,Trousers,Men,M,Purple,Winter,UPI,Returning,1169.500288,1102.092272,14.674303,5,42994.28386,95,39,1.171416,4.024907,4.185256,'Medium Sales',no,no
'Traditional Wear','Tommy Hilfiger',Jacket,Women,XXL,Yellow,Winter,Cash,Returning,1493.61817,1513.241444,45.45944,1,40418.726201,250.329842,48,1.123754,3.449806,23.780219,'Low Sales',no,no
Bottoms,'Calvin Klein',Jacket,Women,XXL,Pink,Winter,'Net Banking',New,827.83284,765.124217,35.041105,9,69362.31033,394,43,0.889904,4.080251,22.254968,'Medium Sales',no,no
Athleisure,Gucci,Kurta,Women,XXL,Purple,All-Season,Card,New,2061.89295,1352.088524,44.344053,5,47401.531175,460,49,2.456179,3.800433,1.602085,'Low Sales',no,no
'Traditional Wear',Reebok,Shorts,Women,L,Green,Winter,'Net Banking',New,1876.284095,1155.74662,39.913689,5,52887.558397,475,61,0.324019,3.479639,20.449741,'Low Sales',no,no
Tops,Puma,Shorts,Women,XL,Orange,All-Season,UPI,Returning,677.944039,940.012673,49.373316,6,84030.520406,239,37,2.518473,3.650322,29.883742,'Medium Sales',no,no
Tops,Puma,Saree,Women,L,Yellow,Winter,UPI,New,1391.784274,1014.461424,8.368197,2,39455.313749,40,23,1.794194,4.831454,24.956969,'Low Sales',no,no
Outerwear,Wrangler,Jacket,Women,L,White,Summer,Cash,Returning,2058.105938,1484.463826,37.038997,1,97529.850602,297,19,2.033877,4.116166,11.40978,'Low Sales',no,no
Outerwear,'Forever 21',Leggings,Men,M,Purple,Winter,Card,Returning,638.737526,784.131804,24.994389,5,62560.290378,250.329842,20,1.631012,3.281522,20.127198,'High Sales',no,no
Bottoms,'Calvin Klein',Shorts,Women,XXL,White,Summer,Cash,Returning,1201.833496,1844.108272,49.400047,9,54665.702354,407,41.066821,1.927622,3.018543,22.844977,'High Sales',no,no
'Traditional Wear',Reebok,Tops,Men,XXL,Green,Winter,UPI,New,1665.454336,1272.635535,1.498409,2,34407.157667,247,37,2.920839,3.658472,2.534298,'Low Sales',no,no
'Traditional Wear',Zara,Skirt,Men,XXL,Green,Winter,Card,Returning,1055.08197,1787.492426,35.480239,1,109504.997359,11,52,2.2117,3.555703,26.085221,'High Sales',no,no
Outerwear,Diesel,'Polo Shirt',Women,L,Orange,Summer,UPI,New,2028.174773,1834.425739,20.890168,5,47031.077084,256,41,-1.353534,4.821565,16.998307,'High Sales',no,no
'Traditional Wear',Reebok,Palazzo,Women,XL,Orange,Summer,Cash,Returning,1241.040564,818.433079,31.179484,8,63238.202867,378,32,2.204727,4.525956,9.957454,'Low Sales',no,no
